zone_0,40%,442925056
zone_1,40%,442925056
zone_2,40%,442925056
zone_3,40%,442925056
zone_4,40%,442925056
zone_5,40%,442925056
zone_6,40%,442925056
zone_7,40%,442925056
zone_8,40%,442925056
zone_9,40%,442925056
zone_10,40%,442925056
zone_11,40%,442925056
zone_12,40%,442925056
zone_13,40%,442925056
zone_14,40%,442925056
zone_15,40%,442925056
zone_16,40%,442925056
zone_17,40%,442925056
zone_18,40%,442925056
zone_19,40%,442925056
zone_20,40%,442925056
zone_21,40%,442925056
zone_22,40%,442925056
zone_23,40%,442925056
zone_24,40%,442925056
zone_25,40%,442925056
zone_26,40%,442925056
zone_27,40%,442925056
