zone_0,40%,442925056
zone_0,40%,442925056
zone_1,40%,442925056
zone_0,40%,442925056
zone_1,40%,442925056
zone_2,40%,442925056
zone_0,40%,442925056
zone_1,40%,442925056
zone_2,40%,442925056
zone_3,40%,442925056
zone_0,40%,442925056
zone_1,40%,442925056
zone_2,40%,442925056
zone_3,40%,442925056
zone_4,40%,442925056
zone_0,40%,442925056
zone_1,40%,442925056
zone_2,40%,442925056
zone_3,40%,442925056
zone_4,40%,442925056
zone_5,40%,442925056
zone_0,40%,442925056
zone_1,40%,442925056
zone_2,40%,442925056
zone_3,40%,442925056
zone_4,40%,442925056
zone_5,40%,442925056
zone_6,40%,442925056
